Round Number,Date,Location,Home Team,Away Team,Result
8,21/11/2020 14:30,Allianz Arena,Bayern Munich,Werder Bremen,01-éðå
8,21/11/2020 14:30,BORUSSIA-PARK,M'gladbach,Augsburg,01-éðå
8,21/11/2020 14:30,PreZero Arena,Hoffenheim,Stuttgart,03-îøõ
8,21/11/2020 14:30,VELTINS-Arena,Schalke 04,Wolfsburg,0 - 2
8,21/11/2020 14:30,SchÃ¼coArena,Bielefeld,Leverkusen,01-ôáø
8,21/11/2020 17:30,Deutsche Bank Park,Ein Frankfurt,RB Leipzig,01-éðå
8,21/11/2020 19:30,Olympiastadion,Hertha,Dortmund,02-îàé
8,22/11/2020 14:30,Schwarzwald-Stadion,Freiburg,Mainz,01-îøõ
8,22/11/2020 17:00,RheinEnergieSTADION,FC Koln,Union Berlin,01-ôáø
9,27/11/2020 19:30,Volkswagen Arena,Wolfsburg,Werder Bremen,05-îøõ
9,28/11/2020 14:30,SIGNAL IDUNA PARK,Dortmund,FC Koln,01-ôáø
9,28/11/2020 14:30,Red Bull Arena,RB Leipzig,Bielefeld,02-éðå
9,28/11/2020 14:30,An der Alten FÃ¶rsterei,Union Berlin,Ein Frankfurt,03-îøõ
9,28/11/2020 14:30,WWK ARENA,Augsburg,Freiburg,01-éðå
9,28/11/2020 14:30,Mercedes-Benz Arena,Stuttgart,Bayern Munich,01-îøõ
9,28/11/2020 17:30,BORUSSIA-PARK,M'gladbach,Schalke 04,04-éðå
9,29/11/2020 14:30,BayArena,Leverkusen,Hertha,0 - 0
9,29/11/2020 17:00,OPEL ARENA,Mainz,Hoffenheim,01-éðå
10,04/12/2020 19:30,Olympiastadion,Hertha,Union Berlin,03-éðå
10,05/12/2020 14:30,Allianz Arena,Bayern Munich,RB Leipzig,03-îøõ
10,05/12/2020 14:30,Schwarzwald-Stadion,Freiburg,M'gladbach,02-ôáø
10,05/12/2020 14:30,Deutsche Bank Park,Ein Frankfurt,Dortmund,01-éðå
10,05/12/2020 14:30,RheinEnergieSTADION,FC Koln,Wolfsburg,02-ôáø
10,05/12/2020 14:30,SchÃ¼coArena,Bielefeld,Mainz,02-éðå
10,06/12/2020 14:30,wohninvest WESERSTADION,Werder Bremen,Stuttgart,01-ôáø
10,06/12/2020 17:00,VELTINS-Arena,Schalke 04,Leverkusen,0 - 3
10,07/12/2020 19:30,PreZero Arena,Hoffenheim,Augsburg,03-éðå
11,11/12/2020 19:30,Volkswagen Arena,Wolfsburg,Ein Frankfurt,02-éðå
11,12/12/2020 14:30,SIGNAL IDUNA PARK,Dortmund,Stuttgart,01-îàé
11,12/12/2020 14:30,Red Bull Arena,RB Leipzig,Werder Bremen,2 - 0
11,12/12/2020 14:30,BORUSSIA-PARK,M'gladbach,Hertha,01-éðå
11,12/12/2020 14:30,Schwarzwald-Stadion,Freiburg,Bielefeld,2 - 0
11,12/12/2020 14:30,OPEL ARENA,Mainz,FC Koln,0 - 1
11,12/12/2020 17:30,An der Alten FÃ¶rsterei,Union Berlin,Bayern Munich,01-éðå
11,13/12/2020 14:30,WWK ARENA,Augsburg,Schalke 04,02-ôáø
11,13/12/2020 17:00,BayArena,Leverkusen,Hoffenheim,04-éðå
12,15/12/2020 17:30,Deutsche Bank Park,Ein Frankfurt,M'gladbach,03-îøõ
12,15/12/2020 19:30,Olympiastadion,Hertha,Mainz,0 - 0
12,15/12/2020 19:30,wohninvest WESERSTADION,Werder Bremen,Dortmund,01-ôáø
12,15/12/2020 19:30,Mercedes-Benz Arena,Stuttgart,Union Berlin,02-ôáø
12,16/12/2020 17:30,VELTINS-Arena,Schalke 04,Freiburg,0 - 2
12,16/12/2020 19:30,Allianz Arena,Bayern Munich,Wolfsburg,02-éðå
12,16/12/2020 19:30,PreZero Arena,Hoffenheim,RB Leipzig,0 - 1
12,16/12/2020 19:30,RheinEnergieSTADION,FC Koln,Leverkusen,0 - 4
12,16/12/2020 19:30,SchÃ¼coArena,Bielefeld,Augsburg,0 - 1
13,18/12/2020 19:30,An der Alten FÃ¶rsterei,Union Berlin,Dortmund,02-éðå
13,19/12/2020 14:30,Red Bull Arena,RB Leipzig,FC Koln,0 - 0
13,19/12/2020 14:30,BORUSSIA-PARK,M'gladbach,Hoffenheim,01-ôáø
13,19/12/2020 14:30,VELTINS-Arena,Schalke 04,Bielefeld,0 - 1
13,19/12/2020 14:30,OPEL ARENA,Mainz,Werder Bremen,0 - 1
13,19/12/2020 14:30,WWK ARENA,Augsburg,Ein Frankfurt,0 - 2
13,19/12/2020 17:30,BayArena,Leverkusen,Bayern Munich,01-ôáø
13,20/12/2020 14:30,Schwarzwald-Stadion,Freiburg,Hertha,04-éðå
13,20/12/2020 17:00,Volkswagen Arena,Wolfsburg,Stuttgart,1 - 0
14,02/01/2021 14:30,PreZero Arena,Hoffenheim,Freiburg,01-îøõ
14,02/01/2021 14:30,Deutsche Bank Park,Ein Frankfurt,Leverkusen,02-éðå
14,02/01/2021 14:30,RheinEnergieSTADION,FC Koln,Augsburg,0 - 1
14,02/01/2021 14:30,wohninvest WESERSTADION,Werder Bremen,Union Berlin,0 - 2
14,02/01/2021 14:30,SchÃ¼coArena,Bielefeld,M'gladbach,0 - 1
14,02/01/2021 17:30,Olympiastadion,Hertha,Schalke 04,3 - 0
14,02/01/2021 19:30,Mercedes-Benz Arena,Stuttgart,RB Leipzig,0 - 1
14,03/01/2021 14:30,SIGNAL IDUNA PARK,Dortmund,Wolfsburg,2 - 0
14,03/01/2021 17:00,Allianz Arena,Bayern Munich,Mainz,05-ôáø
15,08/01/2021 19:30,BORUSSIA-PARK,M'gladbach,Bayern Munich,03-ôáø
15,09/01/2021 14:30,BayArena,Leverkusen,Werder Bremen,01-éðå
15,09/01/2021 14:30,Schwarzwald-Stadion,Freiburg,FC Koln,5 - 0
15,09/01/2021 14:30,An der Alten FÃ¶rsterei,Union Berlin,Wolfsburg,02-ôáø
15,09/01/2021 14:30,VELTINS-Arena,Schalke 04,Hoffenheim,4 - 0
15,09/01/2021 14:30,OPEL ARENA,Mainz,Ein Frankfurt,0 - 2
15,09/01/2021 17:30,Red Bull Arena,RB Leipzig,Dortmund,01-îøõ
15,10/01/2021 14:30,WWK ARENA,Augsburg,Stuttgart,01-àôø
15,10/01/2021 17:00,SchÃ¼coArena,Bielefeld,Hertha,1 - 0
16,15/01/2021 19:30,An der Alten FÃ¶rsterei,Union Berlin,Leverkusen,
16,16/01/2021 14:30,SIGNAL IDUNA PARK,Dortmund,Mainz,
16,16/01/2021 14:30,PreZero Arena,Hoffenheim,Bielefeld,
16,16/01/2021 14:30,Volkswagen Arena,Wolfsburg,RB Leipzig,
16,16/01/2021 14:30,RheinEnergieSTADION,FC Koln,Hertha,
16,16/01/2021 14:30,wohninvest WESERSTADION,Werder Bremen,Augsburg,
16,16/01/2021 17:30,Mercedes-Benz Arena,Stuttgart,M'gladbach,
16,17/01/2021 14:30,Allianz Arena,Bayern Munich,Freiburg,
16,17/01/2021 17:00,Deutsche Bank Park,Ein Frankfurt,Schalke 04,
17,19/01/2021 17:30,BORUSSIA-PARK,M'gladbach,Werder Bremen,
17,19/01/2021 19:30,BayArena,Leverkusen,Dortmund,
17,19/01/2021 19:30,Olympiastadion,Hertha,Hoffenheim,
17,19/01/2021 19:30,OPEL ARENA,Mainz,Wolfsburg,
17,20/01/2021 19:30,Red Bull Arena,RB Leipzig,Union Berlin,
17,20/01/2021 19:30,Schwarzwald-Stadion,Freiburg,Ein Frankfurt,
17,20/01/2021 19:30,VELTINS-Arena,Schalke 04,FC Koln,
17,20/01/2021 19:30,WWK ARENA,Augsburg,Bayern Munich,
17,20/01/2021 19:30,SchÃ¼coArena,Bielefeld,Stuttgart,
18,22/01/2021 19:30,BORUSSIA-PARK,M'gladbach,Dortmund,
18,23/01/2021 14:30,BayArena,Leverkusen,Wolfsburg,
18,23/01/2021 14:30,Schwarzwald-Stadion,Freiburg,Stuttgart,
18,23/01/2021 14:30,OPEL ARENA,Mainz,RB Leipzig,
18,23/01/2021 14:30,WWK ARENA,Augsburg,Union Berlin,
18,23/01/2021 14:30,SchÃ¼coArena,Bielefeld,Ein Frankfurt,
18,23/01/2021 17:30,Olympiastadion,Hertha,Werder Bremen,
18,24/01/2021 14:30,VELTINS-Arena,Schalke 04,Bayern Munich,
18,24/01/2021 17:00,PreZero Arena,Hoffenheim,FC Koln,
19,29/01/2021 19:30,Mercedes-Benz Arena,Stuttgart,Mainz,
19,30/01/2021 14:30,Allianz Arena,Bayern Munich,Hoffenheim,
19,30/01/2021 14:30,SIGNAL IDUNA PARK,Dortmund,Augsburg,
19,30/01/2021 14:30,Deutsche Bank Park,Ein Frankfurt,Hertha,
19,30/01/2021 14:30,An der Alten FÃ¶rsterei,Union Berlin,M'gladbach,
19,30/01/2021 14:30,wohninvest WESERSTADION,Werder Bremen,Schalke 04,
19,30/01/2021 17:30,Red Bull Arena,RB Leipzig,Leverkusen,
19,31/01/2021 14:30,RheinEnergieSTADION,FC Koln,Bielefeld,
19,31/01/2021 17:00,Volkswagen Arena,Wolfsburg,Freiburg,
20,05/02/2021 19:30,Olympiastadion,Hertha,Bayern Munich,
20,06/02/2021 14:30,BayArena,Leverkusen,Stuttgart,
20,06/02/2021 14:30,Schwarzwald-Stadion,Freiburg,Dortmund,
20,06/02/2021 14:30,VELTINS-Arena,Schalke 04,RB Leipzig,
20,06/02/2021 14:30,OPEL ARENA,Mainz,Union Berlin,
20,06/02/2021 14:30,WWK ARENA,Augsburg,Wolfsburg,
20,06/02/2021 17:30,BORUSSIA-PARK,M'gladbach,FC Koln,
20,07/02/2021 14:30,PreZero Arena,Hoffenheim,Ein Frankfurt,
20,07/02/2021 17:00,SchÃ¼coArena,Bielefeld,Werder Bremen,
21,12/02/2021 19:30,Red Bull Arena,RB Leipzig,Augsburg,
21,13/02/2021 14:30,SIGNAL IDUNA PARK,Dortmund,Hoffenheim,
21,13/02/2021 14:30,BayArena,Leverkusen,Mainz,
21,13/02/2021 14:30,wohninvest WESERSTADION,Werder Bremen,Freiburg,
21,13/02/2021 14:30,Mercedes-Benz Arena,Stuttgart,Hertha,
21,13/02/2021 17:30,An der Alten FÃ¶rsterei,Union Berlin,Schalke 04,
21,14/02/2021 14:30,Deutsche Bank Park,Ein Frankfurt,FC Koln,
21,14/02/2021 17:00,Volkswagen Arena,Wolfsburg,M'gladbach,
21,15/02/2021 19:30,Allianz Arena,Bayern Munich,Bielefeld,
22,19/02/2021 19:30,SchÃ¼coArena,Bielefeld,Wolfsburg,
22,20/02/2021 14:30,BORUSSIA-PARK,M'gladbach,Mainz,
22,20/02/2021 14:30,Schwarzwald-Stadion,Freiburg,Union Berlin,
22,20/02/2021 14:30,Deutsche Bank Park,Ein Frankfurt,Bayern Munich,
22,20/02/2021 14:30,RheinEnergieSTADION,FC Koln,Stuttgart,
22,20/02/2021 17:30,VELTINS-Arena,Schalke 04,Dortmund,
22,21/02/2021 12:30,WWK ARENA,Augsburg,Leverkusen,
22,21/02/2021 14:30,Olympiastadion,Hertha,RB Leipzig,
22,21/02/2021 17:00,PreZero Arena,Hoffenheim,Werder Bremen,
