Round Number,Date,Location,Home Team,Away Team,Result
8,25/10/2020 15:00,Matmut Atlantique,Bordeaux,Nimes,2 - 0
8,25/10/2020 15:00,Stade Francis-Le BlÃ©,Brest,Strasbourg,0 - 3
8,25/10/2020 15:00,Stade Saint-Symphorien,Metz,St Etienne,2 - 0
8,25/10/2020 15:00,Stade de la Mosson,Montpellier,Reims,0 - 4
8,25/10/2020 17:00,Allianz Riviera,Nice,Lille,01-éðå
8,25/10/2020 21:00,Groupama Stadium,Lyon,Monaco,04-éðå
9,31/10/2020 17:00,Roazhon Park,Rennes,Brest,02-éðå
9,31/10/2020 21:00,Stade de la Beaujoire,Nantes,Paris SG,0 - 3
9,01/11/2020 13:00,Stade Geoffroy-Guichard,St Etienne,Montpellier,0 - 1
9,01/11/2020 15:00,Stade Raymond Kopa,Angers,Nice,0 - 3
9,01/11/2020 15:00,Stade Gaston GÃ©rard,Dijon,Lorient,0 - 0
9,01/11/2020 15:00,Stade des CostiÃ¨res,Nimes,Metz,0 - 1
9,01/11/2020 15:00,Stade Auguste Delaune,Reims,Strasbourg,02-éðå
9,01/11/2020 17:00,Stade Louis II,Monaco,Bordeaux,4 - 0
9,01/11/2020 21:00,Stade Pierre-Mauroy,Lille,Lyon,01-éðå
10,06/11/2020 21:00,Stade de la Meinau,Strasbourg,Marseille,0 - 1
10,07/11/2020 17:00,Matmut Atlantique,Bordeaux,Montpellier,0 - 2
10,07/11/2020 21:00,Parc des Princes,Paris SG,Rennes,3 - 0
10,08/11/2020 13:00,Stade Francis-Le BlÃ©,Brest,Lille,03-ôáø
10,08/11/2020 15:00,Stade Bollaert-Delelis,Lens,Reims,04-àôø
10,08/11/2020 15:00,Stade du Moustoir,Lorient,Nantes,0 - 2
10,08/11/2020 15:00,Stade Saint-Symphorien,Metz,Dijon,01-éðå
10,08/11/2020 15:00,Stade des CostiÃ¨res,Nimes,Angers,01-îàé
10,08/11/2020 17:00,Allianz Riviera,Nice,Monaco,01-ôáø
10,08/11/2020 21:00,Groupama Stadium,Lyon,St Etienne,02-éðå
11,20/11/2020 19:00,Roazhon Park,Rennes,Bordeaux,0 - 1
11,20/11/2020 21:00,Stade Louis II,Monaco,Paris SG,03-ôáø
11,21/11/2020 21:00,Stade Francis-Le BlÃ©,Brest,St Etienne,04-éðå
11,21/11/2020 21:00,Orange VÃ©lodrome,Marseille,Nice,
11,22/11/2020 13:00,Stade de la Beaujoire,Nantes,Metz,01-éðå
11,22/11/2020 15:00,Stade Gaston GÃ©rard,Dijon,Lens,0 - 1
11,22/11/2020 15:00,Stade de la Mosson,Montpellier,Strasbourg,04-îøõ
11,22/11/2020 15:00,Stade Auguste Delaune,Reims,Nimes,0 - 1
11,22/11/2020 17:00,Stade Raymond Kopa,Angers,Lyon,0 - 1
11,22/11/2020 21:00,Stade Pierre-Mauroy,Lille,Lorient,4 - 0
11,25/11/2020 19:00,Stade Bollaert-Delelis,Lens,Nantes,01-éðå
12,27/11/2020 21:00,Stade de la Meinau,Strasbourg,Rennes,01-éðå
12,28/11/2020 17:00,Orange VÃ©lodrome,Marseille,Nantes,03-éðå
12,28/11/2020 21:00,Parc des Princes,Paris SG,Bordeaux,02-ôáø
12,29/11/2020 13:00,Groupama Stadium,Lyon,Reims,3 - 0
12,29/11/2020 15:00,Stade Bollaert-Delelis,Lens,Angers,01-îøõ
12,29/11/2020 15:00,Stade du Moustoir,Lorient,Montpellier,0 - 1
12,29/11/2020 15:00,Stade Saint-Symphorien,Metz,Brest,0 - 2
12,29/11/2020 15:00,Stade Louis II,Monaco,Nimes,3 - 0
12,29/11/2020 17:00,Allianz Riviera,Nice,Dijon,01-îøõ
12,29/11/2020 21:00,Stade Geoffroy-Guichard,St Etienne,Lille,01-éðå
13,04/12/2020 21:00,Stade des CostiÃ¨res,Nimes,Marseille,0 - 2
13,05/12/2020 17:00,Roazhon Park,Rennes,Lens,0 - 2
13,05/12/2020 21:00,Stade de la Mosson,Montpellier,Paris SG,01-îøõ
13,06/12/2020 13:00,Stade Pierre-Mauroy,Lille,Monaco,02-éðå
13,06/12/2020 15:00,Stade Raymond Kopa,Angers,Lorient,2 - 0
13,06/12/2020 15:00,Matmut Atlantique,Bordeaux,Brest,1 - 0
13,06/12/2020 15:00,Stade Gaston GÃ©rard,Dijon,St Etienne,0 - 0
13,06/12/2020 15:00,Stade de la Beaujoire,Nantes,Strasbourg,0 - 4
13,06/12/2020 17:00,Stade Auguste Delaune,Reims,Nice,0 - 0
13,06/12/2020 21:00,Stade Saint-Symphorien,Metz,Lyon,01-îøõ
14,11/12/2020 21:00,Stade Geoffroy-Guichard,St Etienne,Angers,0 - 0
14,12/12/2020 17:00,Orange VÃ©lodrome,Marseille,Monaco,02-éðå
14,12/12/2020 21:00,Stade Bollaert-Delelis,Lens,Montpellier,02-îøõ
14,13/12/2020 13:00,Allianz Riviera,Nice,Rennes,0 - 1
14,13/12/2020 15:00,Stade Francis-Le BlÃ©,Brest,Reims,02-éðå
14,13/12/2020 15:00,Stade du Moustoir,Lorient,Nimes,3 - 0
14,13/12/2020 15:00,Stade de la Beaujoire,Nantes,Dijon,01-éðå
14,13/12/2020 15:00,Stade de la Meinau,Strasbourg,Metz,02-ôáø
14,13/12/2020 17:00,Stade Pierre-Mauroy,Lille,Bordeaux,02-éðå
14,13/12/2020 21:00,Parc des Princes,Paris SG,Lyon,0 - 1
15,16/12/2020 19:00,Stade Raymond Kopa,Angers,Strasbourg,0 - 2
15,16/12/2020 19:00,Stade Gaston GÃ©rard,Dijon,Lille,0 - 2
15,16/12/2020 19:00,Stade de la Mosson,Montpellier,Metz,0 - 2
15,16/12/2020 19:00,Stade des CostiÃ¨res,Nimes,Nice,0 - 2
15,16/12/2020 19:00,Stade Auguste Delaune,Reims,Nantes,03-ôáø
15,16/12/2020 21:00,Matmut Atlantique,Bordeaux,St Etienne,01-ôáø
15,16/12/2020 21:00,Groupama Stadium,Lyon,Brest,02-ôáø
15,16/12/2020 21:00,Stade Louis II,Monaco,Lens,0 - 3
15,16/12/2020 21:00,Parc des Princes,Paris SG,Lorient,2 - 0
15,16/12/2020 21:00,Roazhon Park,Rennes,Marseille,02-éðå
16,19/12/2020 17:00,Stade Saint-Symphorien,Metz,Lens,2 - 0
16,19/12/2020 19:00,Orange VÃ©lodrome,Marseille,Reims,01-éðå
16,19/12/2020 21:00,Allianz Riviera,Nice,Lyon,01-àôø
16,20/12/2020 13:00,Stade Francis-Le BlÃ©,Brest,Montpellier,02-ôáø
16,20/12/2020 15:00,Stade Gaston GÃ©rard,Dijon,Monaco,0 - 1
16,20/12/2020 15:00,Stade de la Beaujoire,Nantes,Angers,01-éðå
16,20/12/2020 15:00,Stade Geoffroy-Guichard,St Etienne,Nimes,02-ôáø
16,20/12/2020 15:00,Stade de la Meinau,Strasbourg,Bordeaux,0 - 2
16,20/12/2020 17:00,Stade du Moustoir,Lorient,Rennes,0 - 3
16,20/12/2020 21:00,Stade Pierre-Mauroy,Lille,Paris SG,0 - 0
17,23/12/2020 19:00,Matmut Atlantique,Bordeaux,Reims,01-îøõ
17,23/12/2020 19:00,Stade Bollaert-Delelis,Lens,Brest,02-éðå
17,23/12/2020 19:00,Allianz Riviera,Nice,Lorient,02-ôáø
17,23/12/2020 19:00,Stade des CostiÃ¨res,Nimes,Dijon,01-îøõ
17,23/12/2020 19:00,Roazhon Park,Rennes,Metz,1 - 0
17,23/12/2020 21:00,Stade Raymond Kopa,Angers,Marseille,02-éðå
17,23/12/2020 21:00,Groupama Stadium,Lyon,Nantes,3 - 0
17,23/12/2020 21:00,Stade Louis II,Monaco,St Etienne,02-ôáø
17,23/12/2020 21:00,Stade de la Mosson,Montpellier,Lille,02-îøõ
17,23/12/2020 21:00,Parc des Princes,Paris SG,Strasbourg,4 - 0
18,06/01/2021 19:00,Stade Francis-Le BlÃ©,Brest,Nice,2 - 0
18,06/01/2021 19:00,Stade du Moustoir,Lorient,Monaco,02-îàé
18,06/01/2021 19:00,Stade Saint-Symphorien,Metz,Bordeaux,0 - 0
18,06/01/2021 19:00,Stade de la Beaujoire,Nantes,Rennes,0 - 0
18,06/01/2021 19:00,Stade de la Meinau,Strasbourg,Nimes,5 - 0
18,06/01/2021 21:00,Stade Pierre-Mauroy,Lille,Angers,01-ôáø
18,06/01/2021 21:00,Groupama Stadium,Lyon,Lens,03-ôáø
18,06/01/2021 21:00,Orange VÃ©lodrome,Marseille,Montpellier,03-éðå
18,06/01/2021 21:00,Stade Auguste Delaune,Reims,Dijon,0 - 0
18,06/01/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Paris SG,01-éðå
19,09/01/2021 21:00,Matmut Atlantique,Bordeaux,Lorient,02-éðå
19,09/01/2021 21:00,Stade Gaston GÃ©rard,Dijon,Marseille,0 - 0
19,09/01/2021 21:00,Stade Bollaert-Delelis,Lens,Strasbourg,0 - 1
19,09/01/2021 21:00,Stade Saint-Symphorien,Metz,Nice,01-éðå
19,09/01/2021 21:00,Stade Louis II,Monaco,Angers,3 - 0
19,09/01/2021 21:00,Stade de la Mosson,Montpellier,Nantes,01-éðå
19,09/01/2021 21:00,Stade des CostiÃ¨res,Nimes,Lille,0 - 1
19,09/01/2021 21:00,Parc des Princes,Paris SG,Brest,3 - 0
19,09/01/2021 21:00,Stade Auguste Delaune,Reims,St Etienne,03-éðå
19,09/01/2021 21:00,Roazhon Park,Rennes,Lyon,02-ôáø
20,15/01/2021 21:00,Stade de la Mosson,Montpellier,Monaco,
20,16/01/2021 17:00,Orange VÃ©lodrome,Marseille,Nimes,
20,16/01/2021 21:00,Stade Raymond Kopa,Angers,Paris SG,
20,16/01/2021 21:00,Stade Pierre-Mauroy,Lille,Reims,
20,17/01/2021 13:00,Stade Francis-Le BlÃ©,Brest,Rennes,
20,17/01/2021 15:00,Stade du Moustoir,Lorient,Dijon,
20,17/01/2021 15:00,Stade de la Beaujoire,Nantes,Lens,
20,17/01/2021 15:00,Allianz Riviera,Nice,Bordeaux,
20,17/01/2021 17:00,Stade de la Meinau,Strasbourg,St Etienne,
20,17/01/2021 21:00,Groupama Stadium,Lyon,Metz,
20,20/01/2021 21:00,Orange VÃ©lodrome,Marseille,Lens,
21,22/01/2021 21:00,Parc des Princes,Paris SG,Montpellier,
21,23/01/2021 17:00,Stade Bollaert-Delelis,Lens,Nice,
21,23/01/2021 21:00,Stade Louis II,Monaco,Marseille,
21,24/01/2021 13:00,Matmut Atlantique,Bordeaux,Angers,
21,24/01/2021 15:00,Stade Gaston GÃ©rard,Dijon,Strasbourg,
21,24/01/2021 15:00,Stade Saint-Symphorien,Metz,Nantes,
21,24/01/2021 15:00,Stade des CostiÃ¨res,Nimes,Lorient,
21,24/01/2021 15:00,Stade Auguste Delaune,Reims,Brest,
21,24/01/2021 17:00,Roazhon Park,Rennes,Lille,
21,24/01/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Lyon,
22,29/01/2021 21:00,Groupama Stadium,Lyon,Bordeaux,
22,30/01/2021 17:00,Stade de la Mosson,Montpellier,Lens,
22,30/01/2021 21:00,Orange VÃ©lodrome,Marseille,Rennes,
22,31/01/2021 13:00,Allianz Riviera,Nice,St Etienne,
22,31/01/2021 15:00,Stade Raymond Kopa,Angers,Nimes,
22,31/01/2021 15:00,Stade Francis-Le BlÃ©,Brest,Metz,
22,31/01/2021 15:00,Stade du Moustoir,Lorient,Paris SG,
