Round Number,Date,Location,Home Team,Away Team,Result
30,11/04/2021 18:00,Olimpico,Roma,Bologna,
30,11/04/2021 18:00,Luigi Ferraris,Sampdoria,Napoli,
30,11/04/2021 18:00,Alberto Picco,Spezia,Crotone,
30,11/04/2021 18:00,Stadio Friuli,Udinese,Torino,
31,18/04/2021 18:00,Gewiss Stadium,Atalanta,Juventus,
31,18/04/2021 18:00,Renato Dall'Ara,Bologna,Spezia,
31,18/04/2021 18:00,Sardegna Arena,Cagliari,Parma,
31,18/04/2021 18:00,Ezio Scida,Crotone,Udinese,
31,18/04/2021 18:00,Olimpico,Lazio,Benevento,
31,18/04/2021 18:00,Giuseppe Meazza,Milan,Genoa,
31,18/04/2021 18:00,Luigi Ferraris,Sampdoria,Verona,
31,18/04/2021 18:00,Mapei Stadium,Sassuolo,Fiorentina,
31,18/04/2021 18:00,Olimpico Grande Torino,Torino,Roma,
31,18/04/2021 20:45,Diego Armando Maradona,Napoli,Inter,
32,21/04/2021 18:00,Renato Dall'Ara,Bologna,Torino,
32,21/04/2021 18:00,Ezio Scida,Crotone,Sampdoria,
32,21/04/2021 18:00,Luigi Ferraris,Genoa,Benevento,
32,21/04/2021 18:00,Marcantonio Bentegodi,Verona,Fiorentina,
32,21/04/2021 18:00,Allianz Stadium,Juventus,Parma,
32,21/04/2021 18:00,Giuseppe Meazza,Milan,Sassuolo,
32,21/04/2021 18:00,Diego Armando Maradona,Napoli,Lazio,
32,21/04/2021 18:00,Olimpico,Roma,Atalanta,
32,21/04/2021 18:00,Alberto Picco,Spezia,Inter,
32,21/04/2021 18:00,Stadio Friuli,Udinese,Cagliari,
33,25/04/2021 18:00,Gewiss Stadium,Atalanta,Bologna,
33,25/04/2021 18:00,Ciro Vigorito,Benevento,Udinese,
33,25/04/2021 18:00,Sardegna Arena,Cagliari,Roma,
33,25/04/2021 18:00,Artemio Franchi,Fiorentina,Juventus,
33,25/04/2021 18:00,Luigi Ferraris,Genoa,Spezia,
33,25/04/2021 18:00,Giuseppe Meazza,Inter,Verona,
33,25/04/2021 18:00,Olimpico,Lazio,Milan,
33,25/04/2021 18:00,Ennio Tardini,Parma,Crotone,
33,25/04/2021 18:00,Mapei Stadium,Sassuolo,Sampdoria,
33,25/04/2021 18:00,Olimpico Grande Torino,Torino,Napoli,
34,02/05/2021 18:00,Renato Dall'Ara,Bologna,Fiorentina,
34,02/05/2021 18:00,Ezio Scida,Crotone,Inter,
34,02/05/2021 18:00,Marcantonio Bentegodi,Verona,Spezia,
